Key,English,NOTES,Vietnamese
ACHIEVEMENT_BigFish,It was THIS Big!,,Nó bự thật!
ACHIEVEMENT_BigFishDescription,Caught a fish weighing over 5kg (11 lbs).,,Bắt một con cá nặng trên 5kg.
ACHIEVEMENT_Centurion,Centurion,,
ACHIEVEMENT_CenturtionDescription,You survived for 100 days in a single Sandbox mode game.,,Sống sót 100 ngày trong chế độ Sandbox đơn.
ACHIEVEMENT_ColdOutThere,It's Getting Cold Out There,,
ACHIEVEMENT_ColdOutThereDescription,You survived 15 days in a single Sandbox mode game.,,
ACHIEVEMENT_ExplorationGame,Exploration Game,,
ACHIEVEMENT_ExplorationGameDescription,Visit every interior location in both Mystery Lake and Coastal Highway (single game),,
ACHIEVEMENT_FirstOfMany,The First of Many,,
ACHIEVEMENT_FirstOfManyDescription,You survived for 1 day in a single Sandbox mode game.,,
ACHIEVEMENT_HappyHarvester,Happy Harvester,,
ACHIEVEMENT_HappyHarvesterDescription,Harvested 25 of each kind of plant (single game),,
ACHIEVEMENT_LivindOffLandDescription,Survived 25 consecutive full days only consuming calories harvested from wild plants and animals (single game),,
ACHIEVEMENT_LivingOffLand,Living Off the Land,,
ACHIEVEMENT_MasterSurvivor,Master Survivor,,
ACHIEVEMENT_MasterSurvivorDescription,You survived 40 days in a single Sandbox mode game.,,
ACHIEVEMENT_NaturalHealer,Natural Healer,,
ACHIEVEMENT_NaturalHealerDescription,Healed yourself using all types of natural medicines (single game),,
ACHIEVEMENT_NightWalker,Night Walker,,
ACHIEVEMENT_NightWalkerDescription,Survive an entire Night outside (single game),,
ACHIEVEMENT_OneWithNature,One With Nature,,
ACHIEVEMENT_OneWithNatureDescription,You survived for 200 days in a single Sandbox mode game.,,
ACHIEVEMENT_Pacifist,Pacifist,,
ACHIEVEMENT_PacifistDescription,Survive the first 25 days without killing anything (single game),,
ACHIEVEMENT_PrepThePreppers,You Prep the Preppers,,
ACHIEVEMENT_PrepThePreppersDescription,You survived 30 days in a single Sandbox mode game.,,
ACHIEVEMENT_SHTF,Ready for when the SHTF!,,
ACHIEVEMENT_SHTFDescription,You survived 50 days in a single Sandbox mode game.,,
ACHIEVEMENT_SilentHunter,Silent Hunter,,
ACHIEVEMENT_SilentHunterDescription,Survive the first 50 days without firing the Rifle (single game),,
ACHIEVEMENT_StarrySky,Beneath a Starry Sky,,
ACHIEVEMENT_StarrySkyDescription,Survive 3 consecutive Nights outside (single game),,
ACHIEVEMENT_ToughAsNails,Tough as Nails,,
ACHIEVEMENT_ToughAsNailsDescription,You survived 20 days in a single Sandbox mode game.,,
ACHIEVEMENT_TwoForTwo,Two For Two,,
ACHIEVEMENT_TwoForTwoDescription,You survived for 2 days in a single Sandbox mode game.,,
ACHIEVEMENT_WasteNotWantNot,"Waste Not, Want Not",,
ACHIEVEMENT_WasteNotWantNotDescription,Harvest 10 Complete Deer Carcasses (single game),,
ACHIEVEMENT_Wolfbait,Wolfbait,,
ACHIEVEMENT_WolfbaitDescription,You survived 5 days in a single Sandbox mode game.,,
ACHIEVEMENT_WrappedInFurs,Wrapped in Furs,,
ACHIEVEMENT_WrappedInFursDescription,"Slept in a bearskin bedroll while wearing a wolfskin coat, deerskin boots, and rabbitskin mittens.",,
ACHIEVEMENT_YouMadeIt,You Made It!,,
ACHIEVEMENT_YouMadeItDescription,You survived 10 days in a single Sandbox mode game.,,
GAMEPLAY_12Hour,12 Hour,,12 Giờ
GAMEPLAY_24Hour,24 Hour,,24 Giờ
GAMEPLAY_38AmmoBox,.38 Ammo Box,,
GAMEPLAY_38AmmoBoxDescription,A box of .38 caliber ammo.,,
GAMEPLAY_AbandonedLookout,Abandoned Lookout,,
GAMEPLAY_Accelerant,Accelerant,,Bật lửa
GAMEPLAY_AccelerantDescription,Low-volume fuel source designed to help start fires; ex. lighter fluid.,,
GAMEPLAY_AccelerantHeader,Accelerant (Optional),,
GAMEPLAY_AccelerantMed,Accelerant,,
GAMEPLAY_AccelerantMedDescription,Medium-volume fuel source designed to help start fires; ex. charcoal fuel.,,
GAMEPLAY_AddedWaterToInventory,Added {quant-value} to {qual-value} water supply,,
GAMEPLAY_AddFuel,Add fuel,,
GAMEPLAY_AdvancedFirstAid,Advanced First Aid,,
GAMEPLAY_Afflictions,Afflictions,,
GAMEPLAY_Afternoon,Afternoon,,Buổi chiều
GAMEPLAY_AirTemp,Air Temp,,
GAMEPLAY_AirTemperature,Air Temperature,,
GAMEPLAY_AlansCave,Alan's Cave,,
GAMEPLAY_All,All,,
GAMEPLAY_AM,AM,,AM
GAMEPLAY_Amount,Amount,,
GAMEPLAY_AnalogSensitivity,Analog Sticks Sensitivity,,
GAMEPLAY_AnimalGut,Gut,,
GAMEPLAY_AnimalHide,Hide,,Da thú
GAMEPLAY_Antibiotics,Antibiotics,,Thuốc kháng sinh
GAMEPLAY_AntibioticsDescription,A bottle of Antibiotics. Take it to stop infection from spreading.,,Một chai thuốc kháng sinh. Dùng để ngăn chặn nhiễm trùng.
GAMEPLAY_Antiseptic,Antiseptic,,Thuốc sát trùng
GAMEPLAY_AntisepticDescription,A bottle of Hydrogen Peroxide. Useful for cleaning wounds.,,Một chai nước oxy già. Dùng để làm sạch viết thương.
GAMEPLAY_APPLY,APPLY,,
GAMEPLAY_ApplyAntiseptic,Apply Antiseptic,,
GAMEPLAY_ApplyBandage,Apply Bandage,,
GAMEPLAY_ApplyCompressionBandage,Apply Compression Bandage,,
GAMEPLAY_ApplyingAntiseptic,Applying Antiseptic...,,
GAMEPLAY_ApplyingBandage,Applying Bandage...,,
GAMEPLAY_AteItem,Ate {item-name}.,,
GAMEPLAY_AtoZ,A-Z,,A-Z
GAMEPLAY_Attack,Attack,,Tấn công
GAMEPLAY_Audio,Audio,,
GAMEPLAY_BackDoor,Back Door,,
GAMEPLAY_BackPack,Backpack,,Ba lô
GAMEPLAY_BackpackHeader,Backpack:,,Ba lô:
GAMEPLAY_BackToGame,Back To Game,,Quay trở lại Game
GAMEPLAY_Backward,Backward,,
GAMEPLAY_Bandage,Bandage,,
GAMEPLAY_BandageDescription,Bandage suitable for stopping blood loss or binding to constrict movement on an injury.,,
GAMEPLAY_Bandages,Bandages,,
GAMEPLAY_Basement,Basement,,
GAMEPLAY_BasicBoots,Basic Boots,,
GAMEPLAY_BasicBootsDescription,"Basic hiking boots. Leather upper, rubber sole.",,
GAMEPLAY_BasicGloves,Basic Gloves,,
GAMEPLAY_BasicGlovesDescription,"Basic ski gloves, made of synthetic materials.",,
GAMEPLAY_BasicWinterCoat,Basic Winter Coat,,
GAMEPLAY_BasicWinterCoatDescription,Basic winter coat with some wind-blocking capability and basic synthetic filler. Good for an afternoon at the ski hill.,,
GAMEPLAY_BasicWoolHat,Basic Wool Hat,,Mũ len
GAMEPLAY_BasicWoolHatDescription,Simple knitted wool hat.,,
GAMEPLAY_BasicWoolScarf,Basic Wool Scarf,,Khăn len
GAMEPLAY_BasicWoolScarfDescription,Simple knitted scarf.,,
GAMEPLAY_Basin,Basin,,
GAMEPLAY_Bearattack,Bear Attack!,,Gấu tấn công!
GAMEPLAY_BearCarcass,Black Bear Carcass,,
GAMEPLAY_BearCreekCampground,Bear Creek Campground,,
GAMEPLAY_BearHide,Fresh Black Bear Hide,,
GAMEPLAY_BearHideDescription,Freshly harvested fur and skin of a Black bear.,,
GAMEPLAY_BearMeatCookedDescription,Cooked Bear meat. Heavy duty food.,,
GAMEPLAY_BearMeatRaw,Black Bear Meat,,
GAMEPLAY_BearMeatRawDescription,Black bear Meat. Dark and dense. Tends to taste like whatever the bear was eating.,,
GAMEPLAY_BearSkinBedroll,Bear Skin Bedroll,,
GAMEPLAY_BearSkinBedRollDescription,"Bedroll crafted from Bear Skin. Heavy, but very warm. The smell might scare animals away.",,
GAMEPLAY_Bed,Bed,,Giường
GAMEPLAY_Bedroll,Bedroll,,Túi ngủ
GAMEPLAY_BedrollDescription,A down-filled sleeping bag.,,
GAMEPLAY_BeefJerky,Beef Jerky,,
GAMEPLAY_BeefJerkyDescription,Package of Beef Jerky. Tasty and pretty much lasts forever.,,
GAMEPLAY_Bench,Bench,,
GAMEPLAY_Blizzard,Blizzard,,
GAMEPLAY_BloodLoss,Blood Loss,,
GAMEPLAY_BloodLossDescription,"You are bleeding from a wound. If left untreated, you will continue to weaken until you die.",,
GAMEPLAY_Boil,Boil,verb,
GAMEPLAY_BoilingProgress,Boiling Water...,,
GAMEPLAY_BoilWater,Boil water,,
GAMEPLAY_BoltCutters,Bolt Cutters,,
GAMEPLAY_BoltCuttersDescription,Missing,,
GAMEPLAY_Book,Book,,Sách
GAMEPLAY_BookDescription,"Eventually, a source of knowledge. For now, something to burn when you are freezing.",,
GAMEPLAY_Books,Books,,Sách
GAMEPLAY_BreakDown,Break down,break into smaller pieces,
GAMEPLAY_BreakIce,Break Ice,,
GAMEPLAY_BreakIceProgress,Breaking Ice...,,
GAMEPLAY_BreakingDownProgress,Breaking down...,break into smaller pieces,
GAMEPLAY_BreakingDownWillCost,Breaking down will cost,break into smaller pieces,
GAMEPLAY_BrokenBeyondRepair,{item-name} has been broken beyond repair.,,
GAMEPLAY_BuildAttackStrength,Build Strength,,
GAMEPLAY_BurnedOutPostfix,(Burned Out),,
GAMEPLAY_BurnPerHour,Burn/Hour,,
GAMEPLAY_Burns,Burns,,
GAMEPLAY_BurnsDescription,"You have sustained serious burns. Your general Condition will be reduced until you treat the burns, or you heal naturally.",,
GAMEPLAY_BurnsHealed,Burns Healed,,
GAMEPLAY_ButtonAddToFire,Add To Fire,,
GAMEPLAY_ButtonBack,Back,,Quay lại
GAMEPLAY_ButtonBeginCrafting,Begin Crafting,,
GAMEPLAY_ButtonBoil,Boil,,
GAMEPLAY_ButtonCook,Cook,,
GAMEPLAY_ButtonForageWood,Forage Wood,,
GAMEPLAY_ButtonMelt,Melt,,
GAMEPLAY_Cabinet,Cabinet,,
GAMEPLAY_CabinetDoor,Cabinet Door,,
GAMEPLAY_Calories,Calories,,
GAMEPLAY_CaloriesPerHour,Calories / Hour,,
GAMEPLAY_Campfire,Campfire,,
GAMEPLAY_CampOffice,Camp Office,,
GAMEPLAY_Can,Can,,
GAMEPLAY_Cancel,Cancel,,
GAMEPLAY_Cancelled,Cancelled,,
GAMEPLAY_CandyBar,Candy Bar,,
GAMEPLAY_CandyBarDescription,Chocolate and nuts!,,
GAMEPLAY_CannotAddMoreFuel,Cannot add any more fuel to this fire right now,,
GAMEPLAY_Cannotcraftitemwithselectedtool,Cannot craft item with selected tool,,
GAMEPLAY_Cannotrepairatoolwithitself,Cannot repair a tool with itself,,
GAMEPLAY_Cannotrepairitemwithselectedtool,Cannot repair item with selected tool,,
GAMEPLAY_Cannotstartafireonawoodsurface,Cannot start a fire on a wood surface,,
GAMEPLAY_Cannotstartafireonstraw,Cannot start a fire on straw,,
GAMEPLAY_Cannotstartcampfireindoors,Cannot start campfire indoors,,
GAMEPLAY_CanOpener,Can Opener,,
GAMEPLAY_CanOpenerDescription,An implement for opening cans.,,
GAMEPLAY_Cans,Cans,,
GAMEPLAY_CanSmashedOpenPercentLost,"Can smashed open, {%-value}% was lost",,
GAMEPLAY_Capacity,Capacity,,
GAMEPLAY_CardboardMatches,Cardboard Matches,,
GAMEPLAY_CardboardMatchesDescription,Cardboard strike-anywhere matches.,,
GAMEPLAY_CargoPants,Cargo Pants,,
GAMEPLAY_CargoPantsDescription,Tough cotton pants. More rugged than jeans.,,
GAMEPLAY_CarterHydroDam,Carter Hydro Dam,,
GAMEPLAY_CattailPlant,Cat Tail Plant,,
GAMEPLAY_CatTailStalk,Cat Tail Stalk,,
GAMEPLAY_CatTailStalkDescription,"Tough, not very filling, but edible...!",,
GAMEPLAY_CattailTinder,Cat Tail Head,,
GAMEPLAY_CattailTinderDescription,"The Cat Tail's seed head, can be used as tinder.",,
GAMEPLAY_Cave,Cave,a cave you can enter,Hang động
GAMEPLAY_CedarFirewood,Cedar Firewood,,
GAMEPLAY_CedarFirewoodDescription,"Cedar burns with an aromatic glow, but doesn't burn for long.",,
GAMEPLAY_Chair,Chair,,
GAMEPLAY_ChanceOfSuccess,Chance of Success,,
GAMEPLAY_ChanceSuccess,Chance Success,,
GAMEPLAY_Chest,Chest,,
GAMEPLAY_ChooseYour,Choose Your,,
GAMEPLAY_Clear,Clear,,
GAMEPLAY_Clearcut,Clearcut,,
GAMEPLAY_ClockType,Clock Type,,
GAMEPLAY_ClosedCaptioning,Closed Captioning,,
GAMEPLAY_Cloth,Cloth,,
GAMEPLAY_ClothDescription,"Cloth used for crafting and repair, as well as for creating bandages.",,
GAMEPLAY_ClothesGotWet,Your clothes are now wet,,
GAMEPLAY_ClothingWarmthBonus,Clothing Warmth Bonus,,
GAMEPLAY_ClothingWindchillBonus,Clothing Windchill Bonus,,
GAMEPLAY_Cloudy,Cloudy,,
GAMEPLAY_CoastalTownsite,Coastal Townsite,,
GAMEPLAY_CoffeeCup,Cup of Coffee,,Tách cà phê
